"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"ENSG00000169564",0.248779542235187,8.13366089723483,2.5660078973181,0.0111316220368325,0.035412321141209,-3.68486654223879,"PCBP1"
"ENSG00000169567",-0.33401992500037,5.18824554927297,-1.95898980646593,0.0517143995904491,0.115890999370804,-4.96877097069723,"HINT1"
"ENSG00000169592",0.26521768996715,3.50401280340669,1.54022276288906,0.125325347819479,0.227933947491588,-5.49479455201946,"INO80E"
"ENSG00000169599",-0.43583329393566,2.55392131968693,-2.40393205800358,0.0172715174449436,0.0500799138491532,-3.7514024202177,"NFU1"
"ENSG00000169609",-0.460057070996129,3.97024190451357,-2.46674752183833,0.0146043650693448,0.0440684824210347,-3.7874718266091,"C15orf40"
"ENSG00000169612",0.616188558941585,3.27013789419284,3.24114405162642,0.00142704394561143,0.00698382115819713,-1.56771148313409,"RAMAC"
"ENSG00000169627",-0.0324863117625748,4.3631836914767,-0.115728409315127,0.908001438084705,0.942457752867216,-6.77783847621354,"BOLA2B"
"ENSG00000169629",-0.954636219774029,1.53618096161245,-5.03686285909622,1.17784268120479e-06,1.96922334392336e-05,5.1653474832119,"RGPD8"
"ENSG00000169641",-0.222373905503211,2.62842107564978,-1.43829325509237,0.152149695770332,0.263911181159335,-5.53874296477505,"LUZP1"
"ENSG00000169660",0.531015645625265,4.37833590552846,3.72288771564427,0.000265866662687531,0.00181534848284495,-0.14455164101263,"HEXD"
"ENSG00000169679",0.46107912103956,1.60870793148662,1.91685408190829,0.0568975263332088,0.124675607963433,-4.55063226406722,"BUB1"
"ENSG00000169682",-0.112169457502544,4.64776814962283,-0.7240193095642,0.470027628222922,0.601935507111746,-6.55250812393496,"SPNS1"
"ENSG00000169689",-0.394258804208767,2.1751200874926,-1.54481049972242,0.124211577818431,0.2263822461812,-5.31958449089976,"CENPX"
"ENSG00000169692",-0.25654312605279,4.55082485314712,-1.87219738760476,0.062859684731978,0.134484894152588,-5.08430193582687,"AGPAT2"
"ENSG00000169696",-0.368056651627747,3.29101742283607,-2.37676418005407,0.0185527900729373,0.0530291097851625,-3.91163045764853,"ASPSCR1"
"ENSG00000169710",-0.426098157123427,4.15582455872529,-1.41419542432487,0.159093975269928,0.272841053503141,-5.78747515490437,"FASN"
"ENSG00000169714",0.20466856099585,7.09737507415839,1.63491481555704,0.103877386429974,0.198067179787377,-5.57935060947969,"CNBP"
"ENSG00000169715",-0.344616279515286,2.19148673015065,-1.11044935988683,0.268339880521037,0.402725921834267,-5.88513182442992,"MT1E"
"ENSG00000169718",0.0240438879541088,4.30683736708132,0.130847024899951,0.896047702949007,0.934631249561065,-6.76661575677576,"DUS1L"
"ENSG00000169727",-0.0369390507994737,3.91559381384267,-0.230611343460402,0.817888072453155,0.879896981887142,-6.70482003644335,"GPS1"
"ENSG00000169733",0.361824865129522,2.6058110813019,1.70447289806729,0.0900803139318486,0.177281406339827,-5.09545360510463,"RFNG"
"ENSG00000169738",-0.229361401311325,3.39866519666661,-1.12484366397784,0.262206842071889,0.39606636771766,-6.04453937378805,"DCXR"
"ENSG00000169752",-0.067136559168353,2.17056685003381,-0.17841756688186,0.858602920011946,0.907836675467658,-6.45177120707234,"NRG4"
"ENSG00000169756",0.277720569858629,7.16582368386977,2.39862410645014,0.0175155134745078,0.050665387356986,-4.08255290198996,"LIMS1"
"ENSG00000169762",-0.146782865748132,3.85079192274148,-0.877430222335055,0.381464665765405,0.519966026272973,-6.34729379017156,"TAPT1"
"ENSG00000169764",-0.202710944564026,5.89397636042957,-1.6287965563641,0.105167936789603,0.199854826989569,-5.57366996448913,"UGP2"
"ENSG00000169813",0.413623300229617,6.64801910794241,3.5378518132267,0.000517486272466605,0.00315434174891659,-0.87987696603873,"HNRNPF"
"ENSG00000169814",-0.401379513915754,3.54920840884915,-3.07097604283789,0.00247692118792538,0.0107881463050075,-2.15002271050443,"BTD"
"ENSG00000169826",0.588312144402665,5.8251827810764,3.57445015809113,0.000454532768347174,0.00283719759723154,-0.738116669030671,"CSGALNACT2"
"ENSG00000169871",0.885412378507759,4.76309174764572,6.34599863886833,1.85769453436925e-09,7.61436847709063e-08,11.1767135028939,"TRIM56"
"ENSG00000169891",0.00836447130391645,4.39603884435563,0.0481048619212659,0.961687923096763,0.977216237674886,-6.7798881763482,"REPS2"
"ENSG00000169895",-0.287045705548124,4.66428337699913,-2.15976721806012,0.0321612972919746,0.080863186229525,-4.53070010161892,"SYAP1"
"ENSG00000169896",0.486003390915989,7.52156799570868,3.1465215808695,0.00194445223218042,0.00891653833634702,-2.10871016268485,"ITGAM"
"ENSG00000169902",-0.602479123994914,3.50831155986133,-2.06249657972418,0.040648736762581,0.0968740910713071,-4.61723509126417,"TPST1"
"ENSG00000169905",-0.143098863423229,4.90766346110845,-1.65974100751748,0.0987704172691626,0.190415740989115,-5.47496151954504,"TOR1AIP2"
"ENSG00000169908",-0.532694285945322,2.67892751358325,-1.85177360188749,0.065755326935849,0.139188581642036,-4.89831505755922,"TM4SF1"
"ENSG00000169919",-0.445495633539409,5.04568145965076,-3.61475190721129,0.000393577750058928,0.00251533434502681,-0.58678777516452,"GUSB"
"ENSG00000169925",-0.202451943118659,3.02024156578894,-1.29379409065969,0.197453821349114,0.321469081071237,-5.7908843111165,"BRD3"
"ENSG00000169926",0.477516412568236,4.88553587620192,3.71197212149694,0.00027671379257315,0.0018738511040673,-0.226988521126163,"KLF13"
"ENSG00000169967",0.0248974741621941,6.2887957215708,0.205487791541475,0.837431596066946,0.893788967226661,-6.8701497836718,"MAP3K2"
"ENSG00000169972",-0.238496979174027,1.50090926827384,-1.21465662669831,0.226145309655767,0.355389362835469,-5.64451754193684,"PUSL1"
"ENSG00000169976",-0.117252337546466,4.65968580072363,-0.570646270599284,0.568976731091495,0.68873734798322,-6.65268923428887,"SF3B5"
"ENSG00000169991",-0.00207572449147675,2.56163828710983,-0.0111927395559599,0.991082513974297,0.995140825992726,-6.53217348682714,"IFFO2"
"ENSG00000169994",-0.132642064289923,1.75971709101618,-0.67632653790222,0.499732679324906,0.628408786227999,-6.17200750613217,"MYO7B"
"ENSG00000170004",-0.0807675864470742,5.60874271481303,-0.568050700520851,0.570733921039246,0.690124406468167,-6.71247760025466,"CHD3"
"ENSG00000170006",0.607843480821931,6.18215523545435,3.00845139013102,0.00301614901507228,0.012576585555986,-2.49247705442733,"TMEM154"
"ENSG00000170017",-0.378866759599167,4.90136947761414,-2.4234999736856,0.0163977965289969,0.0480387954387055,-3.96781558234398,"ALCAM"
"ENSG00000170027",-0.105058264486697,5.44986105793853,-0.6643757563842,0.507330613475502,0.634140581698005,-6.6470484052708,"YWHAG"
"ENSG00000170035",-0.161182943003776,3.76805880182808,-1.02081619395619,0.308760821859866,0.446328473175649,-6.20128271396976,"UBE2E3"
"ENSG00000170037",-0.29314219047366,3.45718258806262,-2.47176490143778,0.0144080241788815,0.0435995851772561,-3.70655518978456,"CNTROB"
"ENSG00000170043",0.21765657744663,5.75213951691172,1.57807719731668,0.11636681770906,0.215739356827103,-5.64385989113644,"TRAPPC1"
"ENSG00000170085",-0.103530857045424,2.9594643714224,-0.65803810360966,0.511384588906211,0.638034462116595,-6.38762326111466,"SIMC1"
"ENSG00000170088",-0.241622613893995,2.27307232695398,-1.760703166239,0.080048025508958,0.161844532408319,-4.98155657438321,"TMEM192"
"ENSG00000170100",-0.611903458997041,1.98189096140342,-2.45538019748725,0.0150580185428602,0.0450869591202991,-3.55021634449074,"ZNF778"
"ENSG00000170142",0.537458466557188,5.99077507335693,3.94481928935014,0.000115719866059226,0.000933304424645014,0.535740302209097,"UBE2E1"
"ENSG00000170144",-0.323305249779611,6.51365557663284,-4.12463283670319,5.74753998612706e-05,0.000518614373054215,1.1798863330333,"HNRNPA3"
"ENSG00000170145",-0.443431413280719,1.92643974792101,-2.38014709583601,0.0183888023884769,0.052668092414701,-3.70795598306452,"SIK2"
"ENSG00000170160",-0.400962409604086,3.50097504690015,-2.24605129442187,0.0259606273200878,0.0685272309826001,-4.22934999310552,"CCDC144A"
"ENSG00000170175",0.242656670169331,1.66703107722815,1.08710154638117,0.278497759124954,0.413706364043946,-5.77410996756054,"CHRNB1"
"ENSG00000170180",-0.0502912796637731,1.34905925986135,-0.207137900741217,0.836144731427648,0.89300794002936,-6.29147740864663,"GYPA"
"ENSG00000170185",0.167943486708178,3.07680730739848,1.21519397833937,0.225940866861413,0.355220362527962,-5.87383445798714,"USP38"
"ENSG00000170190",0.0693454575511927,4.17429375365693,0.44313241673915,0.658221220125119,0.759736340055238,-6.65887762102656,"SLC16A5"
"ENSG00000170231",-1.0538167015677,1.0791225852128,-4.05491993206662,7.55945328213614e-05,0.000651810478250567,1.31169373449933,"FABP6"
"ENSG00000170234",-0.136296237919479,2.90611710556765,-0.976776890337013,0.330037670793846,0.467985850125351,-6.11924079704993,"PWWP2A"
"ENSG00000170236",0.0228166037737814,1.37702073896312,0.107098852814592,0.914834123605169,0.946749353936318,-6.30944912398045,"USP50"
"ENSG00000170242",0.132974483904668,4.31420401354613,1.10014426012876,0.272791212033787,0.407437782709579,-6.17168823916107,"USP47"
"ENSG00000170248",-0.189700852105022,6.93140538299881,-1.72819341421754,0.0857302256500726,0.17103216727249,-5.42549453883607,"PDCD6IP"
"ENSG00000170265",0.267687862186321,2.56431915003779,1.49927030461595,0.135618344408188,0.241592862578798,-5.41885371304852,"ZNF282"
"ENSG00000170266",-0.439411769652054,4.88506299857863,-3.24403320953698,0.00141347399088618,0.0069199107983732,-1.76060016691462,"GLB1"
"ENSG00000170270",-0.341775961528122,2.24627736834133,-1.44048790934904,0.151529008147153,0.263161151450393,-5.48092564379779,"GON7"
"ENSG00000170271",-0.464559055874658,2.20949107670024,-2.10203815667478,0.0369915318578661,0.0900122981854797,-4.35381809421482,"FAXDC2"
"ENSG00000170275",-0.480787409787491,3.84740006863528,-2.41795910827051,0.0166411358373814,0.0485682095633911,-3.8867413197509,"CRTAP"
"ENSG00000170291",-0.387781581845706,2.79739094107916,-2.34427917584016,0.0201943845104641,0.056440094441663,-3.92075814180111,"ELP5"
"ENSG00000170296",0.218197883936677,8.7319049076686,1.67632317990764,0.0954733590430786,0.18529207055049,-5.51159837302608,"GABARAP"
"ENSG00000170298",0.671084115064264,1.42558165205932,2.30243220065928,0.0224966339798937,0.0613327963709286,-3.75077213969444,"LGALS9B"
"ENSG00000170310",-0.274435256084992,3.64434666266751,-1.46673333059741,0.144256290749757,0.253714631409256,-5.64850920530492,"STX8"
"ENSG00000170315",-0.463748901657364,8.42046465822534,-3.19597719701013,0.00165556359044265,0.00785732166506516,-1.95932587966738,"UBB"
"ENSG00000170322",-0.15909801191626,3.25206880433513,-1.18077193487209,0.239307235067506,0.370409437933392,-5.9561713939925,"NFRKB"
"ENSG00000170323",-5.06945737609282,2.9067737542894,-12.5550310758946,3.80625011538588e-26,5.31999578627484e-22,48.4331716874674,"FABP4"
"ENSG00000170324",-1.82936287120682,1.23545188016815,-7.43356850828184,4.61452342242241e-12,3.62343785815719e-10,16.9749707273613,"FRMPD2"
"ENSG00000170325",0.216231610670441,2.91684511834592,1.25524827334511,0.211074305456915,0.337087016381548,-5.79409927456479,"PRDM10"
"ENSG00000170340",0.353215736962835,4.17919962385829,2.21352436876663,0.028163645317555,0.0728159953021579,-4.34940767100244,"B3GNT2"
"ENSG00000170345",0.40898097642593,10.4321348653912,2.19037821294538,0.0298286616633125,0.0760933024398829,-4.52951914543644,"FOS"
"ENSG00000170348",-0.464129937690586,5.84972348617094,-3.16011317342501,0.0018607246478264,0.00861455727150366,-2.05329421970332,"TMED10"
"ENSG00000170364",-0.438056782434961,2.06328553927213,-2.64291187892507,0.00897088463384553,0.029903661943062,-3.10404336182507,"SETMAR"
"ENSG00000170365",-0.105072879764875,2.36570268034977,-0.408736722839874,0.683236231996273,0.778459101751255,-6.41620754274101,"SMAD1"
"ENSG00000170379",0.00299720754711342,2.4413814103048,0.0184624637117948,0.985291106617351,0.991962385449162,-6.50297039997507,"TCAF2"
"ENSG00000170385",0.706371507445936,2.89582767303175,3.39036218390239,0.00086397876296761,0.0047097625468012,-1.06569505390283,"SLC30A1"
"ENSG00000170412",-0.826316707976843,2.28139430114272,-3.48833370094992,0.000615782623508787,0.00361174726344201,-0.74295872721068,"GPRC5C"
"ENSG00000170417",-0.788729739313786,2.87444265885489,-2.30079469988959,0.0225912232676757,0.0614951505782841,-4.04313889770243,"TMEM182"
"ENSG00000170421",-0.74264864496588,5.99538006067985,-3.43869811193682,0.000731700659611258,0.00413880215272625,-1.19701021071129,"KRT8"
"ENSG00000170423",-0.723132646775713,1.11599152931009,-2.19078535585084,0.0297986518836043,0.0760306238366442,-4.01095166807655,"KRT78"
"ENSG00000170425",-0.930577625102551,1.87374278353898,-5.16718109499195,6.47186384898088e-07,1.2012913813706e-05,5.70600884928582,"ADORA2B"
