"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"ENSG00000005194",-0.305961951422626,2.32801991065568,-0.922763305775178,0.358199074273164,0.566681422903633,-5.64208114822379,"CIAPIN1"
"ENSG00000005206",-0.16203601009206,3.14155402968066,-0.47593550385766,0.63508708400127,0.785899738397259,-5.97114336778747,"SPPL2B"
"ENSG00000005238",-0.493401816700866,4.34909623060207,-1.94625224817405,0.0542371437639757,0.193707891173915,-4.38837406904518,"FAM214B"
"ENSG00000005302",0.153031299869192,5.38429425827431,0.695363502498391,0.488329440613303,0.679033121426626,-6.06364232315153,"MSL3"
"ENSG00000005339",0.544709429108576,6.95163899676893,2.00165805124837,0.04784311889382,0.179870842866161,-4.48141338954286,"CREBBP"
"ENSG00000005379",0.742331470719344,2.77371479944268,2.38680831420414,0.0187442161855395,0.103935551177425,-3.4303632152299,"TSPOAP1"
"ENSG00000005381",0.906231112997791,1.11017302792184,2.71950725674912,0.00762649560299169,0.0609730541320815,-2.64357437150052,"MPO"
"ENSG00000005436",0.101747572340088,1.88906683464368,0.347189355952309,0.729128517472082,0.847899359464751,-5.98323819519025,"GCFC2"
"ENSG00000005448",-1.0851762835041,2.33876741035486,-2.45057122200722,0.0158775442219074,0.0947947789270075,-3.26604446080151,"WDR54"
"ENSG00000005469",-0.296229390967425,1.47634138041665,-1.0948020932622,0.276052659770844,0.488895250746963,-5.47420963707457,"CROT"
"ENSG00000005483",0.250867702869415,6.71112695091015,1.20676836810608,0.230172818855623,0.441686023936764,-5.68766410557529,"KMT2E"
"ENSG00000005486",-0.522993807023704,5.71653012315343,-1.95058901963997,0.0537118241278602,0.192669019820365,-4.49531704999943,"RHBDD2"
"ENSG00000005700",-1.10608955231266,3.1161797978523,-4.96545197676896,2.59587102520023e-06,0.000374600911320714,4.48516427686856,"IBTK"
"ENSG00000005801",0.109798643253983,2.79413407214304,0.328499175579269,0.743173931336793,0.856793371398436,-6.01102232039755,"ZNF195"
"ENSG00000005810",0.630779713597585,4.62281697077875,2.98353905544315,0.00352746929329366,0.0380517444618483,-2.08511025782737,"MYCBP2"
"ENSG00000005812",-0.398967444826177,4.26413448372025,-1.49923866627807,0.136745665385134,0.331157190843867,-5.10413398730681,"FBXL3"
"ENSG00000005844",0.565188996543187,5.29063361681345,2.71386781988017,0.00774889321239899,0.0615434144137315,-2.82345467747722,"ITGAL"
"ENSG00000005882",-0.560850935943868,1.65695696543772,-1.53226742553238,0.128397045414318,0.319358182619446,-4.93377840883747,"PDK2"
